Policy,Episode,TotalTime,TasksCreated,TasksAccepted,TasksDropped,TasksCompleted,TotalReward,AvgQueueTime,LoadImbalance,ServerFrequencies
RoundRobin,67,0.0066,300,147,40,107,-782.16,260.72,2.16,"[33.33, 33.33, 33.33]"
RoundRobin,68,0.0057,300,140,36,104,-783.36,261.12,2.49,"[33.33, 33.33, 33.33]"
RoundRobin,69,0.0051,300,145,36,109,-780.74,260.25,0.94,"[33.33, 33.33, 33.33]"
RoundRobin,70,0.0050,300,144,41,103,-780.03,260.01,0.82,"[33.33, 33.33, 33.33]"
RoundRobin,71,0.0058,300,146,36,110,-773.10,257.70,1.70,"[33.33, 33.33, 33.33]"
RoundRobin,72,0.0073,300,147,38,109,-786.33,262.11,2.05,"[33.33, 33.33, 33.33]"
RoundRobin,73,0.0054,300,145,37,108,-780.06,260.02,2.62,"[33.33, 33.33, 33.33]"
RoundRobin,74,0.0056,300,148,36,112,-773.93,257.98,2.62,"[33.33, 33.33, 33.33]"
RoundRobin,75,0.0058,300,145,39,106,-777.20,259.07,2.94,"[33.33, 33.33, 33.33]"
RoundRobin,76,0.0051,300,145,39,106,-792.24,264.08,2.05,"[33.33, 33.33, 33.33]"
RoundRobin,77,0.0066,300,142,39,103,-780.47,260.16,1.25,"[33.33, 33.33, 33.33]"
RoundRobin,78,0.0066,300,145,37,108,-777.86,259.29,1.70,"[33.33, 33.33, 33.33]"
RoundRobin,79,0.0059,300,144,40,104,-775.89,258.63,3.40,"[33.33, 33.33, 33.33]"
RoundRobin,80,0.0075,300,140,37,103,-787.45,262.48,1.70,"[33.33, 33.33, 33.33]"
RoundRobin,81,0.0055,300,145,38,107,-776.78,258.93,2.49,"[33.33, 33.33, 33.33]"
RoundRobin,82,0.0071,300,143,39,104,-780.60,260.20,2.49,"[33.33, 33.33, 33.33]"
RoundRobin,83,0.0064,300,148,40,108,-773.21,257.74,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,84,0.0063,300,156,39,117,-768.56,256.19,2.94,"[33.33, 33.33, 33.33]"
RoundRobin,85,0.0073,300,143,38,105,-782.25,260.75,3.27,"[33.33, 33.33, 33.33]"
RoundRobin,86,0.0054,300,145,39,106,-774.01,258.00,3.09,"[33.33, 33.33, 33.33]"
RoundRobin,87,0.0052,300,144,39,105,-780.72,260.24,1.70,"[33.33, 33.33, 33.33]"
RoundRobin,88,0.0050,300,143,34,109,-769.27,256.42,3.86,"[33.33, 33.33, 33.33]"
RoundRobin,89,0.0051,300,147,38,109,-782.72,260.91,2.36,"[33.33, 33.33, 33.33]"
RoundRobin,90,0.0061,300,145,36,109,-783.89,261.30,4.11,"[33.33, 33.33, 33.33]"
RoundRobin,91,0.0051,300,142,42,100,-784.45,261.48,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,92,0.0052,300,145,38,107,-775.94,258.65,2.16,"[33.33, 33.33, 33.33]"
RoundRobin,93,0.0073,300,142,38,104,-775.61,258.54,4.08,"[33.33, 33.33, 33.33]"
RoundRobin,94,0.0064,300,143,37,106,-784.66,261.55,2.62,"[33.33, 33.33, 33.33]"
RoundRobin,95,0.0058,300,143,39,104,-784.51,261.50,1.25,"[33.33, 33.33, 33.33]"
RoundRobin,96,0.0050,300,153,39,114,-775.61,258.54,1.89,"[33.33, 33.33, 33.33]"
RoundRobin,97,0.0049,300,145,38,107,-779.93,259.98,2.05,"[33.33, 33.33, 33.33]"
RoundRobin,98,0.0069,300,146,44,102,-777.71,259.24,0.47,"[33.33, 33.33, 33.33]"
RoundRobin,99,0.0050,300,151,41,110,-775.83,258.61,3.09,"[33.33, 33.33, 33.33]"
